alpha,beta,gamma,h,mag,mf_init,ms_init,mu,rat,wf_init,ws_init,xi
5,0.3312,3.78514285714e-06,0.624713979491,0.01,50.0,362.0,0.023,0.01,30.0,217.0,0.0
5,0.831936786116,9.50784898418e-06,0.565908913825,0.0251188643151,17.0,284.0,0.023,0.01,13.0,217.0,0.0
5,2.08973072492,2.38826368562e-05,0.565804455515,0.063095734448,8.0,284.0,0.023,0.01,6.0,217.0,0.0
5,5.24916625343,5.99904714678e-05,0.506829385818,0.158489319246,3.0,222.0,0.023,0.01,3.0,217.0,0.0
5,13.1853094887,0.0001506892513,0.562347570635,0.398107170553,3.0,279.0,0.023,0.01,2.0,217.0,0.0
5,33.12,0.000378514285714,0.223698049419,1.0,0.0,63.0,0.023,0.01,1.0,217.0,0.0
5,83.1936786116,0.000950784898418,0.383724245347,2.51188643151,1.0,135.0,0.023,0.01,1.0,217.0,0.0
5,208.973072492,0.00238826368562,0.430527253269,6.3095734448,1.0,164.0,0.023,0.01,1.0,217.0,0.0
5,524.916625343,0.00599904714678,0.446730042119,15.8489319246,1.0,176.0,0.023,0.01,1.0,217.0,0.0
5,1318.53094887,0.01506892513,0.453792092266,39.8107170553,1.0,180.0,0.023,0.01,1.0,217.0,0.0
5,3312.0,0.0378514285714,0.456100249912,100.0,1.0,182.0,0.023,0.01,1.0,217.0,0.0
5,0.3312,9.50784898418e-06,0.424102855661,0.01,23.0,160.0,0.023,0.0251188643151,31.0,217.0,0.0
5,0.831936786116,2.38826368562e-05,0.384332396254,0.0251188643151,9.0,135.0,0.023,0.0251188643151,14.0,217.0,0.0
5,2.08973072492,5.99904714678e-05,0.389200506601,0.063095734448,4.0,138.0,0.023,0.0251188643151,7.0,217.0,0.0
5,5.24916625343,0.0001506892513,0.346316424048,0.158489319246,2.0,115.0,0.023,0.0251188643151,4.0,217.0,0.0
5,13.1853094887,0.000378514285714,0.387840148965,0.398107170553,2.0,138.0,0.023,0.0251188643151,3.0,217.0,0.0
5,33.12,0.000950784898418,0.195293034457,1.0,0.0,52.0,0.023,0.0251188643151,2.0,217.0,0.0
5,83.1936786116,0.00238826368562,0.272132576151,2.51188643151,1.0,81.0,0.023,0.0251188643151,2.0,217.0,0.0
5,208.973072492,0.00599904714678,0.298568799599,6.3095734448,1.0,93.0,0.023,0.0251188643151,2.0,217.0,0.0
5,524.916625343,0.01506892513,0.309294139811,15.8489319246,1.0,97.0,0.023,0.0251188643151,2.0,217.0,0.0
5,1318.53094887,0.0378514285714,0.313088493687,39.8107170553,1.0,99.0,0.023,0.0251188643151,2.0,217.0,0.0
5,3312.0,0.0950784898418,0.314385507474,100.0,1.0,100.0,0.023,0.0251188643151,2.0,217.0,0.0
5,0.3312,2.38826368562e-05,0.327146508881,0.01,16.0,105.0,0.023,0.063095734448,34.0,217.0,0.0
5,0.831936786116,5.99904714678e-05,0.322001012941,0.0251188643151,8.0,103.0,0.023,0.063095734448,17.0,217.0,0.0
5,2.08973072492,0.0001506892513,0.33031426244,0.063095734448,5.0,107.0,0.023,0.063095734448,10.0,217.0,0.0
5,5.24916625343,0.000378514285714,0.314478941824,0.158489319246,3.0,99.0,0.023,0.063095734448,7.0,217.0,0.0
5,13.1853094887,0.000950784898418,0.333221039783,0.398107170553,3.0,109.0,0.023,0.063095734448,6.0,217.0,0.0
5,33.12,0.00238826368562,0.258413719128,1.0,2.0,76.0,0.023,0.063095734448,5.0,217.0,0.0
5,83.1936786116,0.00599904714678,0.286131075094,2.51188643151,2.0,87.0,0.023,0.063095734448,5.0,217.0,0.0
5,208.973072492,0.01506892513,0.296984530037,6.3095734448,2.0,91.0,0.023,0.063095734448,5.0,217.0,0.0
5,524.916625343,0.0378514285714,0.300841748699,15.8489319246,2.0,93.0,0.023,0.063095734448,5.0,217.0,0.0
5,1318.53094887,0.0950784898418,0.302170058399,39.8107170553,2.0,94.0,0.023,0.063095734448,5.0,217.0,0.0
5,3312.0,0.238826368562,0.30307549461,100.0,2.0,94.0,0.023,0.063095734448,5.0,217.0,0.0
5,0.3312,5.99904714678e-05,0.283237273837,0.01,17.0,86.0,0.023,0.158489319246,42.0,217.0,0.0
5,0.831936786116,0.0001506892513,0.298515536667,0.0251188643151,11.0,92.0,0.023,0.158489319246,25.0,217.0,0.0
5,2.08973072492,0.000378514285714,0.308400094812,0.063095734448,8.0,97.0,0.023,0.158489319246,18.0,217.0,0.0
5,5.24916625343,0.000950784898418,0.304579408956,0.158489319246,7.0,95.0,0.023,0.158489319246,15.0,217.0,0.0
5,13.1853094887,0.00238826368562,0.313913630165,0.398107170553,6.0,99.0,0.023,0.158489319246,14.0,217.0,0.0
5,33.12,0.00599904714678,0.28666327573,1.0,5.0,87.0,0.023,0.158489319246,13.0,217.0,0.0
5,83.1936786116,0.01506892513,0.296903712027,2.51188643151,5.0,91.0,0.023,0.158489319246,13.0,217.0,0.0
5,208.973072492,0.0378514285714,0.299623510176,6.3095734448,6.0,93.0,0.023,0.158489319246,13.0,217.0,0.0
5,524.916625343,0.0950784898418,0.300869591046,15.8489319246,6.0,94.0,0.023,0.158489319246,13.0,217.0,0.0
5,1318.53094887,0.238826368562,0.301727126193,39.8107170553,6.0,94.0,0.023,0.158489319246,13.0,217.0,0.0
5,3312.0,0.599904714678,0.302068517084,100.0,6.0,94.0,0.023,0.158489319246,13.0,217.0,0.0
5,0.3312,0.0001506892513,0.303177447675,0.01,29.0,95.0,0.023,0.398107170553,67.0,217.0,0.0
5,0.831936786116,0.000378514285714,0.291646500278,0.0251188643151,20.0,90.0,0.023,0.398107170553,48.0,217.0,0.0
5,2.08973072492,0.000950784898418,0.301594826171,0.063095734448,18.0,94.0,0.023,0.398107170553,41.0,217.0,0.0
5,5.24916625343,0.00238826368562,0.303207088072,0.158489319246,17.0,94.0,0.023,0.398107170553,38.0,217.0,0.0
5,13.1853094887,0.00599904714678,0.307598706689,0.398107170553,16.0,96.0,0.023,0.398107170553,37.0,217.0,0.0
5,33.12,0.01506892513,0.299292356343,1.0,15.0,92.0,0.023,0.398107170553,36.0,217.0,0.0
5,83.1936786116,0.0378514285714,0.3015209111,2.51188643151,16.0,94.0,0.023,0.398107170553,36.0,217.0,0.0
5,208.973072492,0.0950784898418,0.303392829053,6.3095734448,16.0,94.0,0.023,0.398107170553,36.0,217.0,0.0
5,524.916625343,0.238826368562,0.303302508911,15.8489319246,16.0,95.0,0.023,0.398107170553,36.0,217.0,0.0
5,1318.53094887,0.599904714678,0.30359837286,39.8107170553,16.0,95.0,0.023,0.398107170553,36.0,217.0,0.0
5,3312.0,1.506892513,0.30371615842,100.0,16.0,95.0,0.023,0.398107170553,36.0,217.0,0.0
5,0.3312,0.000378514285714,0.301281890742,0.01,68.0,94.0,0.023,1.0,157.0,217.0,0.0
5,0.831936786116,0.000950784898418,0.301329237333,0.0251188643151,58.0,94.0,0.023,1.0,135.0,217.0,0.0
5,2.08973072492,0.00238826368562,0.301489852507,0.063095734448,54.0,94.0,0.023,1.0,126.0,217.0,0.0
5,5.24916625343,0.00599904714678,0.300349147213,0.158489319246,52.0,93.0,0.023,1.0,122.0,217.0,0.0
5,13.1853094887,0.01506892513,0.301914934922,0.398107170553,52.0,94.0,0.023,1.0,121.0,217.0,0.0
5,33.12,0.0378514285714,0.300643527777,1.0,51.0,93.0,0.023,1.0,120.0,217.0,0.0
5,83.1936786116,0.0950784898418,0.300643733691,2.51188643151,52.0,94.0,0.023,1.0,120.0,217.0,0.0
5,208.973072492,0.238826368562,0.301139419577,6.3095734448,52.0,94.0,0.023,1.0,120.0,217.0,0.0
5,524.916625343,0.599904714678,0.301336755682,15.8489319246,52.0,94.0,0.023,1.0,120.0,217.0,0.0
5,1318.53094887,1.506892513,0.301415316601,39.8107170553,52.0,94.0,0.023,1.0,120.0,217.0,0.0
5,3312.0,3.78514285714,0.301446592266,100.0,52.0,94.0,0.023,1.0,120.0,217.0,0.0
5,0.3312,0.000950784898418,0.300097506475,0.01,831.0,93.0,0.023,2.51188643151,1940.0,217.0,0.0
5,0.831936786116,0.00238826368562,0.300056061166,0.0251188643151,792.0,93.0,0.023,2.51188643151,1848.0,217.0,0.0
5,2.08973072492,0.00599904714678,0.300060924831,0.063095734448,776.0,93.0,0.023,2.51188643151,1811.0,217.0,0.0
5,5.24916625343,0.01506892513,0.300103219768,0.158489319246,770.0,93.0,0.023,2.51188643151,1797.0,217.0,0.0
5,13.1853094887,0.0378514285714,0.300034961108,0.398107170553,768.0,93.0,0.023,2.51188643151,1791.0,217.0,0.0
5,33.12,0.0950784898418,0.300069288128,1.0,766.0,93.0,0.023,2.51188643151,1788.0,217.0,0.0
5,83.1936786116,0.238826368562,0.300020062667,2.51188643151,766.0,93.0,0.023,2.51188643151,1787.0,217.0,0.0
5,208.973072492,0.599904714678,0.300042504713,6.3095734448,766.0,93.0,0.023,2.51188643151,1787.0,217.0,0.0
5,524.916625343,1.506892513,0.300051439052,15.8489319246,766.0,93.0,0.023,2.51188643151,1787.0,217.0,0.0
5,1318.53094887,3.78514285714,0.300054995876,39.8107170553,766.0,93.0,0.023,2.51188643151,1787.0,217.0,0.0
5,3312.0,9.50784898418,0.300056411874,100.0,766.0,93.0,0.023,2.51188643151,1787.0,217.0,0.0
5,0.3312,0.00238826368562,,0.01,,,0.023,6.3095734448,,,0.0
5,0.831936786116,0.00599904714678,,0.0251188643151,,,0.023,6.3095734448,,,0.0
5,2.08973072492,0.01506892513,,0.063095734448,,,0.023,6.3095734448,,,0.0
5,5.24916625343,0.0378514285714,,0.158489319246,,,0.023,6.3095734448,,,0.0
5,13.1853094887,0.0950784898418,,0.398107170553,,,0.023,6.3095734448,,,0.0
5,33.12,0.238826368562,,1.0,,,0.023,6.3095734448,,,0.0
5,83.1936786116,0.599904714678,,2.51188643151,,,0.023,6.3095734448,,,0.0
5,208.973072492,1.506892513,,6.3095734448,,,0.023,6.3095734448,,,0.0
5,524.916625343,3.78514285714,,15.8489319246,,,0.023,6.3095734448,,,0.0
5,1318.53094887,9.50784898418,,39.8107170553,,,0.023,6.3095734448,,,0.0
5,3312.0,23.8826368562,,100.0,,,0.023,6.3095734448,,,0.0
5,0.3312,0.00599904714678,,0.01,,,0.023,15.8489319246,,,0.0
5,0.831936786116,0.01506892513,,0.0251188643151,,,0.023,15.8489319246,,,0.0
5,2.08973072492,0.0378514285714,,0.063095734448,,,0.023,15.8489319246,,,0.0
5,5.24916625343,0.0950784898418,,0.158489319246,,,0.023,15.8489319246,,,0.0
5,13.1853094887,0.238826368562,,0.398107170553,,,0.023,15.8489319246,,,0.0
5,33.12,0.599904714678,,1.0,,,0.023,15.8489319246,,,0.0
5,83.1936786116,1.506892513,,2.51188643151,,,0.023,15.8489319246,,,0.0
5,208.973072492,3.78514285714,,6.3095734448,,,0.023,15.8489319246,,,0.0
5,524.916625343,9.50784898418,,15.8489319246,,,0.023,15.8489319246,,,0.0
5,1318.53094887,23.8826368562,,39.8107170553,,,0.023,15.8489319246,,,0.0
5,3312.0,59.9904714678,,100.0,,,0.023,15.8489319246,,,0.0
5,0.3312,0.01506892513,,0.01,,,0.023,39.8107170553,,,0.0
5,0.831936786116,0.0378514285714,,0.0251188643151,,,0.023,39.8107170553,,,0.0
5,2.08973072492,0.0950784898418,,0.063095734448,,,0.023,39.8107170553,,,0.0
5,5.24916625343,0.238826368562,,0.158489319246,,,0.023,39.8107170553,,,0.0
5,13.1853094887,0.599904714678,,0.398107170553,,,0.023,39.8107170553,,,0.0
5,33.12,1.506892513,,1.0,,,0.023,39.8107170553,,,0.0
5,83.1936786116,3.78514285714,,2.51188643151,,,0.023,39.8107170553,,,0.0
5,208.973072492,9.50784898418,,6.3095734448,,,0.023,39.8107170553,,,0.0
5,524.916625343,23.8826368562,,15.8489319246,,,0.023,39.8107170553,,,0.0
5,1318.53094887,59.9904714678,,39.8107170553,,,0.023,39.8107170553,,,0.0
5,3312.0,150.6892513,,100.0,,,0.023,39.8107170553,,,0.0
5,0.3312,0.0378514285714,,0.01,,,0.023,100.0,,,0.0
5,0.831936786116,0.0950784898418,,0.0251188643151,,,0.023,100.0,,,0.0
5,2.08973072492,0.238826368562,,0.063095734448,,,0.023,100.0,,,0.0
5,5.24916625343,0.599904714678,,0.158489319246,,,0.023,100.0,,,0.0
5,13.1853094887,1.506892513,,0.398107170553,,,0.023,100.0,,,0.0
5,33.12,3.78514285714,,1.0,,,0.023,100.0,,,0.0
5,83.1936786116,9.50784898418,,2.51188643151,,,0.023,100.0,,,0.0
5,208.973072492,23.8826368562,,6.3095734448,,,0.023,100.0,,,0.0
5,524.916625343,59.9904714678,,15.8489319246,,,0.023,100.0,,,0.0
5,1318.53094887,150.6892513,,39.8107170553,,,0.023,100.0,,,0.0
5,3312.0,378.514285714,,100.0,,,0.023,100.0,,,0.0
