b,beta,delta,gamma,h,kappa,mag,mf_init,ms_init,mu,rat,wf_init,ws_init,xi
0.0001,0.3312,1.0,3.78514285714e-06,0.300302856051,1000.0,0.01,43.0,268.0,0.023,0.01,101.0,625.0,0.0
0.0001,0.831936786116,1.0,9.50784898418e-06,0.299812223313,1000.0,0.0251188643151,20.0,285.0,0.023,0.01,46.0,665.0,0.0
0.0001,2.08973072492,1.0,2.38826368562e-05,0.29950371632,1000.0,0.063095734448,10.0,292.0,0.023,0.01,23.0,683.0,0.0
0.0001,5.24916625343,1.0,5.99904714678e-05,0.299501147163,1000.0,0.158489319246,6.0,295.0,0.023,0.01,14.0,690.0,0.0
0.0001,13.1853094887,1.0,0.0001506892513,0.300548253231,1000.0,0.398107170553,4.0,297.0,0.023,0.01,10.0,692.0,0.0
0.0001,33.12,1.0,0.000378514285714,0.299919718744,1000.0,1.0,4.0,297.0,0.023,0.01,9.0,693.0,0.0
0.0001,83.1936786116,1.0,0.000950784898418,0.299669863032,1000.0,2.51188643151,4.0,297.0,0.023,0.01,8.0,694.0,0.0
0.0001,208.973072492,1.0,0.00238826368562,0.299869424476,1000.0,6.3095734448,3.0,297.0,0.023,0.01,8.0,694.0,0.0
0.0001,524.916625343,1.0,0.00599904714678,0.299829817963,1000.0,15.8489319246,3.0,297.0,0.023,0.01,8.0,694.0,0.0
0.0001,1318.53094887,1.0,0.01506892513,0.299814051791,1000.0,39.8107170553,3.0,297.0,0.023,0.01,8.0,694.0,0.0
0.0001,3312.0,1.0,0.0378514285714,0.299807775396,1000.0,100.0,3.0,297.0,0.023,0.01,8.0,694.0,0.0
0.0001,0.3312,1.0,9.50784898418e-06,0.300449568234,1000.0,0.01,48.0,265.0,0.023,0.0251188643151,112.0,617.0,0.0
0.0001,0.831936786116,1.0,2.38826368562e-05,0.300517689238,1000.0,0.0251188643151,25.0,282.0,0.023,0.0251188643151,57.0,656.0,0.0
0.0001,2.08973072492,1.0,5.99904714678e-05,0.300316921342,1000.0,0.063095734448,15.0,289.0,0.023,0.0251188643151,35.0,673.0,0.0
0.0001,5.24916625343,1.0,0.0001506892513,0.300359687957,1000.0,0.158489319246,11.0,292.0,0.023,0.0251188643151,26.0,680.0,0.0
0.0001,13.1853094887,1.0,0.000378514285714,0.300111937848,1000.0,0.398107170553,10.0,293.0,0.023,0.0251188643151,22.0,683.0,0.0
0.0001,33.12,1.0,0.000950784898418,0.299784504314,1000.0,1.0,9.0,293.0,0.023,0.0251188643151,21.0,684.0,0.0
0.0001,83.1936786116,1.0,0.00238826368562,0.299535872524,1000.0,2.51188643151,9.0,293.0,0.023,0.0251188643151,20.0,685.0,0.0
0.0001,208.973072492,1.0,0.00599904714678,0.29943694866,1000.0,6.3095734448,9.0,293.0,0.023,0.0251188643151,20.0,685.0,0.0
0.0001,524.916625343,1.0,0.01506892513,0.299695187488,1000.0,15.8489319246,8.0,293.0,0.023,0.0251188643151,20.0,685.0,0.0
0.0001,1318.53094887,1.0,0.0378514285714,0.300403683578,1000.0,39.8107170553,9.0,294.0,0.023,0.0251188643151,20.0,684.0,0.0
0.0001,3312.0,1.0,0.0950784898418,0.300397422884,1000.0,100.0,9.0,294.0,0.023,0.0251188643151,20.0,684.0,0.0
0.0001,0.3312,1.0,2.38826368562e-05,0.300409084121,1000.0,0.01,59.0,257.0,0.023,0.063095734448,138.0,599.0,0.0
0.0001,0.831936786116,1.0,5.99904714678e-05,0.300378996473,1000.0,0.0251188643151,36.0,273.0,0.023,0.063095734448,85.0,636.0,0.0
0.0001,2.08973072492,1.0,0.0001506892513,0.300491082834,1000.0,0.063095734448,27.0,280.0,0.023,0.063095734448,63.0,652.0,0.0
0.0001,5.24916625343,1.0,0.000378514285714,0.299896380335,1000.0,0.158489319246,23.0,282.0,0.023,0.063095734448,54.0,659.0,0.0
0.0001,13.1853094887,1.0,0.000950784898418,0.299404462912,1000.0,0.398107170553,22.0,283.0,0.023,0.063095734448,51.0,662.0,0.0
0.0001,33.12,1.0,0.00238826368562,0.300138196096,1000.0,1.0,21.0,284.0,0.023,0.063095734448,50.0,662.0,0.0
0.0001,83.1936786116,1.0,0.00599904714678,0.299891868141,1000.0,2.51188643151,21.0,284.0,0.023,0.063095734448,49.0,663.0,0.0
0.0001,208.973072492,1.0,0.01506892513,0.299793861497,1000.0,6.3095734448,21.0,284.0,0.023,0.063095734448,49.0,663.0,0.0
0.0001,524.916625343,1.0,0.0378514285714,0.29975485358,1000.0,15.8489319246,21.0,284.0,0.023,0.063095734448,49.0,663.0,0.0
0.0001,1318.53094887,1.0,0.0950784898418,0.299739325711,1000.0,39.8107170553,21.0,284.0,0.023,0.063095734448,49.0,663.0,0.0
0.0001,3312.0,1.0,0.238826368562,0.299733144187,1000.0,100.0,21.0,284.0,0.023,0.063095734448,49.0,663.0,0.0
0.0001,0.3312,1.0,5.99904714678e-05,0.300133530139,1000.0,0.01,86.0,239.0,0.023,0.158489319246,201.0,557.0,0.0
0.0001,0.831936786116,1.0,0.0001506892513,0.299876536943,1000.0,0.0251188643151,64.0,253.0,0.023,0.158489319246,150.0,591.0,0.0
0.0001,2.08973072492,1.0,0.000378514285714,0.299561035319,1000.0,0.063095734448,56.0,259.0,0.023,0.158489319246,130.0,605.0,0.0
0.0001,5.24916625343,1.0,0.000950784898418,0.300625308503,1000.0,0.158489319246,52.0,262.0,0.023,0.158489319246,121.0,610.0,0.0
0.0001,13.1853094887,1.0,0.00238826368562,0.300534501483,1000.0,0.398107170553,51.0,263.0,0.023,0.158489319246,118.0,612.0,0.0
0.0001,33.12,1.0,0.00599904714678,0.299928818955,1000.0,1.0,50.0,263.0,0.023,0.158489319246,117.0,614.0,0.0
0.0001,83.1936786116,1.0,0.01506892513,0.299975394595,1000.0,2.51188643151,50.0,263.0,0.023,0.158489319246,116.0,614.0,0.0
0.0001,208.973072492,1.0,0.0378514285714,0.299879514075,1000.0,6.3095734448,50.0,263.0,0.023,0.158489319246,116.0,614.0,0.0
0.0001,524.916625343,1.0,0.0950784898418,0.299554148258,1000.0,15.8489319246,50.0,263.0,0.023,0.158489319246,116.0,615.0,0.0
0.0001,1318.53094887,1.0,0.238826368562,0.299538971928,1000.0,39.8107170553,50.0,263.0,0.023,0.158489319246,116.0,615.0,0.0
0.0001,3312.0,1.0,0.599904714678,0.299532930355,1000.0,100.0,50.0,263.0,0.023,0.158489319246,116.0,615.0,0.0
0.0001,0.3312,1.0,0.0001506892513,0.299542143907,1000.0,0.01,146.0,203.0,0.023,0.398107170553,341.0,475.0,0.0
0.0001,0.831936786116,1.0,0.000378514285714,0.299160864129,1000.0,0.0251188643151,126.0,214.0,0.023,0.398107170553,295.0,501.0,0.0
0.0001,2.08973072492,1.0,0.000950784898418,0.299930849172,1000.0,0.063095734448,118.0,219.0,0.023,0.398107170553,276.0,511.0,0.0
0.0001,5.24916625343,1.0,0.00238826368562,0.300293458525,1000.0,0.158489319246,115.0,221.0,0.023,0.398107170553,268.0,515.0,0.0
0.0001,13.1853094887,1.0,0.00599904714678,0.300444984242,1000.0,0.398107170553,114.0,222.0,0.023,0.398107170553,265.0,517.0,0.0
0.0001,33.12,1.0,0.01506892513,0.300127821299,1000.0,1.0,113.0,222.0,0.023,0.398107170553,264.0,518.0,0.0
0.0001,83.1936786116,1.0,0.0378514285714,0.299894858294,1000.0,2.51188643151,113.0,222.0,0.023,0.398107170553,264.0,518.0,0.0
0.0001,208.973072492,1.0,0.0950784898418,0.299802174591,1000.0,6.3095734448,113.0,222.0,0.023,0.398107170553,264.0,518.0,0.0
0.0001,524.916625343,1.0,0.238826368562,0.299497159758,1000.0,15.8489319246,113.0,222.0,0.023,0.398107170553,264.0,519.0,0.0
0.0001,1318.53094887,1.0,0.599904714678,0.299482488851,1000.0,39.8107170553,113.0,222.0,0.023,0.398107170553,264.0,519.0,0.0
0.0001,3312.0,1.0,1.506892513,0.299476648499,1000.0,100.0,113.0,222.0,0.023,0.398107170553,264.0,519.0,0.0
0.0001,0.3312,1.0,0.000378514285714,0.299658757425,1000.0,0.01,284.0,148.0,0.023,1.0,664.0,346.0,0.0
0.0001,0.831936786116,1.0,0.000950784898418,0.300254704283,1000.0,0.0251188643151,262.0,155.0,0.023,1.0,610.0,361.0,0.0
0.0001,2.08973072492,1.0,0.00238826368562,0.300557958574,1000.0,0.063095734448,253.0,158.0,0.023,1.0,590.0,368.0,0.0
0.0001,5.24916625343,1.0,0.00599904714678,0.300431450559,1000.0,0.158489319246,250.0,159.0,0.023,1.0,582.0,370.0,0.0
0.0001,13.1853094887,1.0,0.01506892513,0.29937501822,1000.0,0.398107170553,248.0,159.0,0.023,1.0,580.0,372.0,0.0
0.0001,33.12,1.0,0.0378514285714,0.299001430139,1000.0,1.0,247.0,159.0,0.023,1.0,579.0,373.0,0.0
0.0001,83.1936786116,1.0,0.0950784898418,0.300865987816,1000.0,2.51188643151,248.0,160.0,0.023,1.0,577.0,372.0,0.0
0.0001,208.973072492,1.0,0.238826368562,0.300771440614,1000.0,6.3095734448,248.0,160.0,0.023,1.0,577.0,372.0,0.0
0.0001,524.916625343,1.0,0.599904714678,0.300733812576,1000.0,15.8489319246,248.0,160.0,0.023,1.0,577.0,372.0,0.0
0.0001,1318.53094887,1.0,1.506892513,0.300718834466,1000.0,39.8107170553,248.0,160.0,0.023,1.0,577.0,372.0,0.0
0.0001,3312.0,1.0,3.78514285714,0.300712871871,1000.0,100.0,248.0,160.0,0.023,1.0,577.0,372.0,0.0
0.0001,0.3312,1.0,0.000950784898418,0.299878070084,1000.0,0.01,980.0,88.0,0.023,2.51188643151,2288.0,205.0,0.0
0.0001,0.831936786116,1.0,0.00238826368562,0.299171830339,1000.0,0.0251188643151,853.0,91.0,0.023,2.51188643151,1999.0,213.0,0.0
0.0001,2.08973072492,1.0,0.00599904714678,0.301383883397,1000.0,0.063095734448,818.0,93.0,0.023,2.51188643151,1897.0,216.0,0.0
0.0001,5.24916625343,1.0,0.01506892513,0.299678707912,1000.0,0.158489319246,799.0,93.0,0.023,2.51188643151,1866.0,217.0,0.0
0.0001,13.1853094887,1.0,0.0378514285714,0.299006047249,1000.0,0.398107170553,791.0,93.0,0.023,2.51188643151,1854.0,218.0,0.0
0.0001,33.12,1.0,0.0950784898418,0.29879130462,1000.0,1.0,788.0,93.0,0.023,2.51188643151,1849.0,218.0,0.0
0.0001,83.1936786116,1.0,0.238826368562,0.298688507972,1000.0,2.51188643151,787.0,93.0,0.023,2.51188643151,1847.0,218.0,0.0
0.0001,208.973072492,1.0,0.599904714678,0.298628092079,1000.0,6.3095734448,786.0,93.0,0.023,2.51188643151,1847.0,218.0,0.0
0.0001,524.916625343,1.0,1.506892513,0.298665142334,1000.0,15.8489319246,786.0,93.0,0.023,2.51188643151,1846.0,218.0,0.0
0.0001,1318.53094887,1.0,3.78514285714,0.29863950311,1000.0,39.8107170553,786.0,93.0,0.023,2.51188643151,1846.0,218.0,0.0
0.0001,3312.0,1.0,9.50784898418,0.298629297058,1000.0,100.0,786.0,93.0,0.023,2.51188643151,1846.0,218.0,0.0
0.0001,0.3312,1.0,0.00238826368562,,1000.0,0.01,,,0.023,6.3095734448,,,0.0
0.0001,0.831936786116,1.0,0.00599904714678,,1000.0,0.0251188643151,,,0.023,6.3095734448,,,0.0
0.0001,2.08973072492,1.0,0.01506892513,,1000.0,0.063095734448,,,0.023,6.3095734448,,,0.0
0.0001,5.24916625343,1.0,0.0378514285714,,1000.0,0.158489319246,,,0.023,6.3095734448,,,0.0
0.0001,13.1853094887,1.0,0.0950784898418,,1000.0,0.398107170553,,,0.023,6.3095734448,,,0.0
0.0001,33.12,1.0,0.238826368562,,1000.0,1.0,,,0.023,6.3095734448,,,0.0
0.0001,83.1936786116,1.0,0.599904714678,,1000.0,2.51188643151,,,0.023,6.3095734448,,,0.0
0.0001,208.973072492,1.0,1.506892513,,1000.0,6.3095734448,,,0.023,6.3095734448,,,0.0
0.0001,524.916625343,1.0,3.78514285714,,1000.0,15.8489319246,,,0.023,6.3095734448,,,0.0
0.0001,1318.53094887,1.0,9.50784898418,,1000.0,39.8107170553,,,0.023,6.3095734448,,,0.0
0.0001,3312.0,1.0,23.8826368562,,1000.0,100.0,,,0.023,6.3095734448,,,0.0
0.0001,0.3312,1.0,0.00599904714678,,1000.0,0.01,,,0.023,15.8489319246,,,0.0
0.0001,0.831936786116,1.0,0.01506892513,,1000.0,0.0251188643151,,,0.023,15.8489319246,,,0.0
0.0001,2.08973072492,1.0,0.0378514285714,,1000.0,0.063095734448,,,0.023,15.8489319246,,,0.0
0.0001,5.24916625343,1.0,0.0950784898418,,1000.0,0.158489319246,,,0.023,15.8489319246,,,0.0
0.0001,13.1853094887,1.0,0.238826368562,,1000.0,0.398107170553,,,0.023,15.8489319246,,,0.0
0.0001,33.12,1.0,0.599904714678,,1000.0,1.0,,,0.023,15.8489319246,,,0.0
0.0001,83.1936786116,1.0,1.506892513,,1000.0,2.51188643151,,,0.023,15.8489319246,,,0.0
0.0001,208.973072492,1.0,3.78514285714,,1000.0,6.3095734448,,,0.023,15.8489319246,,,0.0
0.0001,524.916625343,1.0,9.50784898418,,1000.0,15.8489319246,,,0.023,15.8489319246,,,0.0
0.0001,1318.53094887,1.0,23.8826368562,,1000.0,39.8107170553,,,0.023,15.8489319246,,,0.0
0.0001,3312.0,1.0,59.9904714678,,1000.0,100.0,,,0.023,15.8489319246,,,0.0
0.0001,0.3312,1.0,0.01506892513,,1000.0,0.01,,,0.023,39.8107170553,,,0.0
0.0001,0.831936786116,1.0,0.0378514285714,,1000.0,0.0251188643151,,,0.023,39.8107170553,,,0.0
0.0001,2.08973072492,1.0,0.0950784898418,,1000.0,0.063095734448,,,0.023,39.8107170553,,,0.0
0.0001,5.24916625343,1.0,0.238826368562,,1000.0,0.158489319246,,,0.023,39.8107170553,,,0.0
0.0001,13.1853094887,1.0,0.599904714678,,1000.0,0.398107170553,,,0.023,39.8107170553,,,0.0
0.0001,33.12,1.0,1.506892513,,1000.0,1.0,,,0.023,39.8107170553,,,0.0
0.0001,83.1936786116,1.0,3.78514285714,,1000.0,2.51188643151,,,0.023,39.8107170553,,,0.0
0.0001,208.973072492,1.0,9.50784898418,,1000.0,6.3095734448,,,0.023,39.8107170553,,,0.0
0.0001,524.916625343,1.0,23.8826368562,,1000.0,15.8489319246,,,0.023,39.8107170553,,,0.0
0.0001,1318.53094887,1.0,59.9904714678,,1000.0,39.8107170553,,,0.023,39.8107170553,,,0.0
0.0001,3312.0,1.0,150.6892513,,1000.0,100.0,,,0.023,39.8107170553,,,0.0
0.0001,0.3312,1.0,0.0378514285714,,1000.0,0.01,,,0.023,100.0,,,0.0
0.0001,0.831936786116,1.0,0.0950784898418,,1000.0,0.0251188643151,,,0.023,100.0,,,0.0
0.0001,2.08973072492,1.0,0.238826368562,,1000.0,0.063095734448,,,0.023,100.0,,,0.0
0.0001,5.24916625343,1.0,0.599904714678,,1000.0,0.158489319246,,,0.023,100.0,,,0.0
0.0001,13.1853094887,1.0,1.506892513,,1000.0,0.398107170553,,,0.023,100.0,,,0.0
0.0001,33.12,1.0,3.78514285714,,1000.0,1.0,,,0.023,100.0,,,0.0
0.0001,83.1936786116,1.0,9.50784898418,,1000.0,2.51188643151,,,0.023,100.0,,,0.0
0.0001,208.973072492,1.0,23.8826368562,,1000.0,6.3095734448,,,0.023,100.0,,,0.0
0.0001,524.916625343,1.0,59.9904714678,,1000.0,15.8489319246,,,0.023,100.0,,,0.0
0.0001,1318.53094887,1.0,150.6892513,,1000.0,39.8107170553,,,0.023,100.0,,,0.0
0.0001,3312.0,1.0,378.514285714,,1000.0,100.0,,,0.023,100.0,,,0.0
